,0,1,2,3
0,Q01,1,C00451.txt,1
1,Q01,1,C00046.txt,1
2,Q01,1,C00179.txt,1
3,Q01,1,C00927.txt,1
4,Q01,1,C00636.txt,1
5,Q01,1,C00794.txt,1
6,Q01,1,C00441.txt,1
7,Q01,1,C00240.txt,1
8,Q01,1,C00889.txt,1
9,Q01,1,C00766.txt,1
10,Q01,1,C00668.txt,1
11,Q01,1,C00150.txt,1
12,Q01,1,C00087.txt,1
13,Q01,1,C00609.txt,1
14,Q01,1,C00343.txt,1
15,Q02,1,C00949.txt,1
16,Q02,1,C00390.txt,1
17,Q02,1,C00726.txt,1
18,Q02,1,C00026.txt,1
19,Q02,1,S00478.txt,1
20,Q02,1,C00335.txt,1
21,Q02,1,S00242.txt,1
22,Q02,1,C00200.txt,1
23,Q02,1,C00769.txt,1
24,Q02,1,C00088.txt,1
25,Q02,1,S00813.txt,1
26,Q02,1,C00497.txt,1
27,Q02,1,C00890.txt,1
28,Q02,1,C00042.txt,1
29,Q02,1,S00519.txt,1
30,Q03,1,C00095.txt,1
31,Q03,1,C00703.txt,1
32,Q03,1,C00018.txt,1
33,Q03,1,C00965.txt,1
34,Q03,1,C00938.txt,1
35,Q03,1,C00544.txt,1
36,Q03,1,C00074.txt,1
37,Q03,1,C00795.txt,1
38,Q03,1,S00188.txt,1
39,Q03,1,C00047.txt,1
40,Q03,1,C00032.txt,1
41,Q03,1,C00401.txt,1
42,Q03,1,C00241.txt,1
43,Q03,1,C00272.txt,1
44,Q03,1,C00400.txt,1
45,Q04,1,C00400.txt,1
46,Q04,1,C00026.txt,1
47,Q04,1,C00663.txt,1
48,Q04,1,C00199.txt,1
49,Q04,1,C00214.txt,1
50,Q04,1,C00009.txt,1
51,Q04,1,C00031.txt,1
52,Q04,1,C00095.txt,1
53,Q04,1,C00359.txt,1
54,Q04,1,C00086.txt,1
55,Q04,1,C00135.txt,1
56,Q04,1,C00886.txt,1
57,Q04,1,C00001.txt,1
58,Q04,1,C00101.txt,1
59,Q04,1,S00829.txt,1
60,Q05,1,C00718.txt,1
61,Q05,1,S00563.txt,1
62,Q05,1,S00211.txt,1
63,Q05,1,S00389.txt,1
64,Q05,1,C00827.txt,1
65,Q05,1,C00051.txt,1
